Nimi,Puolue,Luottamuselin teksti,Alku,Loppu,Luottamuselimen asema
Aalto Timo,PS,Kaupunginvaltuusto,03.11.2008,31.12.2012,3. varajäsen
Aalto Timo,PS,Käräjäoikeuden lautamiehet,01.04.2009,31.12.2012,Jäsen
Aalto Touko,VIHR,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Jäsen
Aalto Touko,VIHR,Palokan terv.huollon kuntayht. yhtymähall.,01.01.2009,31.12.2010,Henkilökohtainen varajäsen
Aalto Touko,VIHR,Päivähoito- ja varhaiskasvatusjaosto,22.01.2009,31.12.2011,Henkilökohtainen varajäsen
Aalto Touko,VIHR,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Aalto Touko,VIHR,Perusturvalautakunta,08.12.2008,31.12.2012,Jäsen
Aalto Touko,VIHR,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Aalto Touko,VIHR,Sotepa/Vammaisneuvosto,01.01.2009,31.12.2012,Jäsen
Aalto Touko,VIHR,Työllisyysjaosto,22.01.2009,31.12.2012,Varapuheenjohtaja
Aalto Touko,VIHR,Maakuntavaltuusto,11.03.2009,31.12.2012,Jäsen
Aalto Touko,VIHR,Terveydenhuollon jaosto,18.11.2010,31.12.2012,Jäsen
Aapakari Markku,KOK,1. Vaalilautakunta,27.04.2009,07.06.2009,7. varajäsen
Aapakari Markku,KOK,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Aapakari Markku,KOK,Altek Aluetekniikan johtokunta,19.01.2009,31.12.2012,Varapuheenjohtaja
Aarnio Miika,EI,"Kulttuuri-, liikunta- ja nuorisolautakunta",01.11.2011,31.12.2012,Henkilökohtainen varajäsen
Aarnio Ulla,EI,Lukiokoulutuksen johtokunta,01.01.2005,31.12.9999,Jäsen
Aarnos Markku,KOK,Kaupunkirakennelautakunta,08.12.2008,12.01.2009,Varapuheenjohtaja
Aarnos Markku,KOK,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Jäsen
Aarnos Markku,KOK,Rakennus- ja ympäristölautakunta,01.01.2009,31.12.2010,Edustaja
Aarnos Markku,KOK,Kaupunginhallitus,13.01.2009,31.12.2010,Jäsen
Aarnos Markku,KOK,Taloustoimikunta,02.02.2009,31.12.2010,Jäsen
Aarnos Markku,KOK,Korpilahden kunnan historiatoimikunta,01.01.2008,31.12.2012,Jäsen
Aarnos Markku,KOK,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Aarnos Markku,KOK,Korpilahden aluelautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Aarnos Markku,KOK,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Aarnos Markku,KOK,Maakuntavaltuusto,11.03.2009,31.12.2012,Jäsen
Aarnos Markku,KOK,Yleiskaavatoimikunta,15.02.2010,31.12.2012,Jäsen
Aarnos Markku,KOK,Organisaatiotoimikunta,15.02.2010,31.12.2012,Henkilökohtainen varajäsen
Aarnos Markku,KOK,Kaupunginhallitus,01.01.2011,31.12.2012,Jäsen
Abahassine Lahcen,SDP,9. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Abahassine Lahcen,SDP,Kaupunginvaltuusto,03.11.2008,17.05.2010,7. varajäsen
Abahassine Lahcen,SDP,9. Vaalilautakunta,24.03.2011,17.04.2011,1. varajäsen
Abahassine Lahcen,SDP,Päivähoito- ja varhaiskasvatusjaosto,22.01.2009,31.12.2011,Jäsen
Abahassine Lahcen,SDP,Kaupunginvaltuusto,18.05.2010,06.06.2012,6. varajäsen
Abahassine Lahcen,SDP,Sivistyslautakunta,08.12.2008,31.12.2012,Jäsen
Abahassine Lahcen,SDP,Kaupunginvaltuusto,07.06.2011,31.12.2012,5. varajäsen
Abahassine Lahcen,SDP,Päivähoito- ja varhaiskasvatustoimikunta,01.01.2012,31.12.2012,Jäsen
Abbey Paul,VAS,Korpilahden aluelautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Ahlholm Tellervo,KESK,10. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Ahlström Veikko,VIHR,30. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Ahlström Veikko,VIHR,30. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Ahola Jorma,SDP,Kaupunginvaltuusto,03.11.2008,17.05.2010,19. varajäsen
Ahola Jorma,SDP,Kaupunginvaltuusto,18.05.2010,06.06.2011,18. varajäsen
Ahola Jorma,SDP,"K-S:n pelastuslaitos, liikelaitoksen johtokunta",01.01.2009,31.12.2012,Puheenjohtaja
Ahola Jorma,SDP,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Ahola Jorma,SDP,Kaupunginvaltuusto,07.06.2011,31.12.2012,17. varajäsen
Ahola Matti,VIHR,5. Vaalitoimikunta,27.04.2009,07.06.2009,3. varajäsen
Ahola Matti,VIHR,30. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Ahola Matti,VIHR,26. Vaalilautakunta,24.03.2011,17.04.2011,6. varajäsen
Ahola Matti,VIHR,5. Vaalitoimikunta,24.03.2011,17.04.2011,3. varajäsen
Ahola Matti,VIHR,26. Vaalilautakunta,08.12.2011,05.02.2012,6. varajäsen
Ahola Matti,VIHR,5. Vaalitoimikunta,08.12.2011,05.02.2012,3. varajäsen
Ahola Veikko,VIHR,6. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Ahola Veikko,VIHR,Kaupunkirakennelautakunta,23.02.2010,31.12.2012,Henkilökohtainen varajäsen
Ahonen Aira,KESK,Liikuntalautakunta,08.12.2008,31.12.2010,Jäsen
Ahonen Aira,KESK,"Kulttuuri-, liikunta- ja nuorisolautakunta",01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Ahonen Aira,KESK,Liikuntajaosto,01.01.2011,31.12.2012,Jäsen
Ahonen Arja,KESK,36. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Ahonen Arja,KESK,36. Vaalilautakunta,08.12.2011,05.02.2012,2. varajäsen
Ahonen Kimmo,VAS,16. Vaalilautakunta,27.04.2009,07.06.2009,Varapuheenjohtaja
Ahonen Kimmo,VAS,16. Vaalilautakunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Ahonen Kimmo,VAS,16. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Ahonen Kimmo,VAS,Altek Aluetekniikan johtokunta,19.01.2009,31.12.2012,Jäsen
Ahonen Kimmo,VAS,Organisaatiotoimikunta,01.02.2011,31.12.2012,Henkilökohtainen varajäsen
Ahonen Seppo,VAS,3. Vaalilautakunta,27.04.2009,07.06.2009,6. varajäsen
Ahonen Seppo,VAS,3. Vaalilautakunta,24.03.2011,17.04.2011,6. varajäsen
Ahonen Seppo,VAS,3. Vaalilautakunta,08.12.2011,05.02.2012,6. varajäsen
Ahonen Seppo,VAS,Käräjäoikeuden lautamiehet,01.01.2005,31.03.2009,Jäsen
Ahonen Sirkka,KD,37. Vaalilautakunta,24.03.2011,17.04.2011,3. varajäsen
Ahonen Sirkka,KD,38. Vaalilautakunta,08.12.2011,05.02.2012,1. varajäsen
Ahonen Tomi,EI,Jyväskylän Seudun Työterveyden jk,01.04.2011,31.12.2012,Henkilökohtainen varajäsen
Ahonen Tomi,KESK,Jyväskylän Seudun Työterveyden jk,01.04.2011,31.12.2012,Henkilökohtainen varajäsen
Ahovuori Mailis,KESK,Korpilahden aluelautakunta,08.12.2008,31.12.2012,Jäsen
Ahovuori Mailis,KESK,Maaseutulautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Ahovuori Mailis,KESK,Sotepa/Vammaisneuvosto,01.01.2009,31.12.2012,Jäsen
Ahovuori Mailis,KESK,Tiejaosto,05.11.2009,31.12.2012,Henkilökohtainen varajäsen
Ahovuori Tero,KESK,38. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Ahovuori Tero,KESK,38. Vaalilautakunta,24.03.2011,17.04.2011,Puheenjohtaja
Ahovuori Tero,KESK,38. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Ahtamo Galina,SDP,7. Vaalilautakunta,27.04.2009,07.06.2009,7. varajäsen
Ahtamo Galina,SDP,Kaupunginvaltuusto,22.09.2009,17.05.2010,21. varajäsen
Ahtamo Galina,SDP,7. Vaalilautakunta,24.03.2011,17.04.2011,6. varajäsen
Ahtamo Galina,SDP,Kaupunginvaltuusto,18.05.2010,06.06.2011,20. varajäsen
Ahtamo Galina,SDP,7. Vaalilautakunta,08.12.2011,05.02.2012,6. varajäsen
Ahtamo Galina,SDP,Rakennus- ja ympäristölautakunta,08.12.2008,31.12.2012,Jäsen
Ahtamo Galina,SDP,Kaupunginvaltuusto,07.06.2011,31.12.2012,19. varajäsen
Ahvenus Juhani,KESK,Maaseutulautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Aittanen Heidi,EI,Huhtasuon alueen aluejk,14.08.2006,31.12.9999,Jäsen
Ala-Mononen Vesa,KOK,25. Vaalilautakunta,27.04.2009,07.06.2009,Varapuheenjohtaja
Ala-Mononen Vesa,KOK,25. Vaalilautakunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Ala-Mononen Vesa,KOK,25. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Ala-Mononen Vesa,KOK,Rakennus- ja ympäristölautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Alanko Aulis,KESK,34. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Alanko Aulis,KESK,Jyväskylän Vuokra-asunnot Oy:n hallitus,01.01.2009,31.12.2009,Henkilökohtainen varajäsen
Alanko Aulis,KESK,34. Vaalilautakunta,24.03.2011,17.04.2011,3. varajäsen
Alanko Aulis,KESK,34. Vaalilautakunta,08.12.2011,05.02.2012,3. varajäsen
Alanko Jukka,EI,Lukiokoulutuksen johtokunta,01.01.2005,31.12.9999,Varajäsen
Alastalo Kirsi,VIHR,Käräjäoikeuden lautamiehet,11.11.2008,31.03.2009,Jäsen
Alastalo Kirsi,VIHR,23. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Alastalo Kirsi,VIHR,Nuorisolautakunta,08.12.2008,31.12.2010,Jäsen
Alastalo Kirsi,VIHR,Käräjäoikeuden lautamiehet,01.04.2009,31.12.2012,Jäsen
Alastalo Kirsi,VIHR,Nuorisojaosto,01.01.2011,31.12.2012,Jäsen
Alén Sirkka,EI,Lukiokoulutuksen johtokunta,01.08.2006,31.12.9999,Varajäsen
Aliranta Anna-Maija,SDP,Tarkastuslautakunta,01.01.2009,31.12.2012,Henkilökohtainen varajäsen
Aliranta Anna-Maija,SDP,Käräjäoikeuden lautamiehet,01.04.2009,31.12.2012,Jäsen
Alkula Reijo,KOK,19. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Altti Margit,VAS,28. Vaalilautakunta,27.04.2009,07.06.2009,4. varajäsen
Altti Margit,VAS,28. Vaalilautakunta,24.03.2011,17.04.2011,4. varajäsen
Altti Margit,VAS,28. Vaalilautakunta,08.12.2011,05.02.2012,4. varajäsen
Ammondt Jukka,VIHR,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Jäsen
Ammondt Jukka,VIHR,Kulttuurilautakunta,08.12.2008,31.12.2010,Varapuheenjohtaja
Ammondt Jukka,VIHR,Ilmasto-ohjelmatyön ohjausryhmä,13.10.2010,22.08.2011,Henkilökohtainen varajäsen
Ammondt Jukka,VIHR,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Ammondt Jukka,VIHR,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Ammondt Jukka,VIHR,Maakuntavaltuusto,11.03.2009,31.12.2012,Jäsen
